redshift,dL_planck,erro_planck
0.50349,3051.2299514130805,21.468927101533044
0.4952,3058.559910609512,19.75839341689775
0.6782,4876.040985666649,39.4707477340299
0.8672,5487.010370691489,39.52131772973631
0.7992,5399.830207778076,40.87380905866529
0.37129,2243.388329378935,19.945292120553567
0.35568,2028.605751157975,17.945444331913436
0.28391,1523.8221107377904,13.680687339355716
0.46691,3374.457546666806,29.013620044523446
0.94791,4126.862636711391,41.92842069299782
0.69391,4313.604780345863,37.90250669012441
0.89791,6415.743686547439,44.55528716322727
0.78991,5284.138882403395,39.642732397629494
0.59091,3555.0835382130463,32.87039893186362
0.2102,1061.593821529456,10.398449298631794
0.8592,4361.458798572816,31.770439738497497
0.5592,3168.538805229308,23.330422707071964
0.9972,7448.679840932491,44.39762154262075
0.5834,3792.326402339763,24.525531513116587
0.7972,3738.213341865737,29.0743314621324
0.9142,6547.100129032757,39.12330722930425
0.94921,4908.740241786397,38.73776309681937
0.7342,4678.057948566731,31.11626369260551
0.7662,4599.171930420326,32.67121673861306
0.9842,7141.995700041208,47.950285394904064
0.7012,4112.019640546471,32.08575665669888
0.83716,5034.631880155898,50.45167107028421
0.37016,2100.253595770687,18.11585751164868
0.35816,1917.0703111653893,15.360442474192013
0.52216,3331.3558111336893,24.76395991531035
0.70116,3649.861127273639,35.977078115508995
0.74526,4259.7984108993,32.811072069442965
0.59116,3579.9039213801484,24.00675685494785
0.62039,3741.817284926446,24.522680872808657
1.0024,6626.913614166111,54.493733849902746
0.6104,4038.969231483533,25.387427459355578
0.35819,1926.893758640959,14.556055358985681
0.45138,2295.718000233152,17.151398688266404
0.55239,2903.0698855440214,20.187882553639238
0.75039,4185.327567841111,33.47650968252891
0.82238,5882.421717594725,35.32415626373834
0.95039,7963.361585188062,50.07081195263716
0.34039,1904.2120859316783,14.548224710039735
0.8104,4604.582915820061,40.08517124980107
0.61191,4113.390128504219,34.135104301867045
0.54891,2841.50339784294,24.427044549343698
1.02991,7649.542845527282,48.57346849549977
0.42291,2384.0826503918033,18.124733119841483
0.70191,4872.484682190678,33.50987692662609
0.68591,4232.6086967768815,37.06718801162186
0.93291,8094.568554781599,47.04531954042839
0.74991,4278.472689496915,31.117745970963767
0.46891,2840.281153574398,19.562806968599155
0.95991,8284.073553885972,50.932196494476955
0.8412,5711.687260424691,39.70309516907014
0.5632,3355.7792252270233,22.18294960467084
0.8292,7197.280631245879,44.01150444272233
0.57921,3421.2032546639593,21.565637050873615
0.8652,6373.990209438608,39.10185290992614
0.8592,4786.188638918107,39.034727510967585
0.58621,3853.030013939924,28.346387765439513
0.4892,2939.3181127073944,20.281152147967077
0.68921,4250.003638406144,30.770823144776678
0.32416,1813.6346019674954,14.105008675806706
0.18516,962.6946731167923,9.517206530329451
0.68116,4517.450723911757,31.678010503413173
0.92116,6011.131722752756,45.69285735099722
0.42816,2734.4187747149904,21.40408225465806
0.69916,4296.514646535525,38.66414397419675
0.57516,3542.4899800867274,27.481447550904203
0.51116,3557.094938195789,24.29593500135401
0.64116,4313.925259587715,30.16474216217261
0.35116,2187.5760591569897,18.09346097651269
0.34916,2116.3841894922484,17.360388186079177
0.35486,2195.9648984687174,18.832815341183686
0.87116,6516.206578905822,35.95325796168978
0.92516,5793.464549986088,44.951391881026574
0.4194,2554.2311296140765,20.09338123917756
0.89038,6277.591721482091,44.21766242885809
0.48038,2810.1841043198215,19.336980165570505
0.58038,3672.681028540698,32.423598827897685
0.80538,4030.7165700499695,34.12602546885811
0.66438,4669.25345700995,31.29669518700162
0.74538,4973.040950051543,32.46775233071741
0.7364,4832.845966608596,29.674665439078485
0.37039,1994.9688162793436,15.96788626681713
0.85039,6633.5821876282,36.78860085932236
0.21938,1161.1800044228723,10.875660834560046
0.64739,3826.4364124679714,26.78824365526476
0.60038,3466.6034146445363,29.72809494616334
0.76039,4466.49603409891,32.57338559060616
0.47039,2911.775700279653,19.608331484744532
0.49791,2980.141777124161,24.020560877083135
0.50791,2963.2909838406226,21.77675714095188
0.58791,3678.477558299189,27.035569449113083
0.69992,3920.8354657055424,30.350685387494586
0.76191,4769.284039254001,32.379611212836096
0.78891,5774.501400798191,33.92905578821728
0.40591,2561.790377315943,17.74739318062507
0.80892,6561.236558384351,44.08964912574036
0.58392,4009.75815648267,25.653104728481324
0.72091,4666.131274279629,34.44867818155036
0.83791,6402.874559700075,38.37196504479757
0.80691,4650.564550355052,39.782051418583734
0.50016,3140.0947305333048,25.996377311629598
0.53316,2858.675569645826,27.16393598454086
0.82116,5705.727583216477,55.67539902678255
0.12516,615.0929719173071,7.750965036236965
0.44316,2545.2933344881985,21.559069191130746
0.68339,4638.141852239259,47.03163305079425
0.72639,4646.6057089681635,33.740242670429716
0.40439,2414.167590301571,16.317856766242528
0.69038,3532.0016748708126,31.30660172850667
0.57639,3514.054302409235,22.957346415953076
0.72039,4588.731434644136,36.587012080828984
0.55091,3393.6655856940397,23.634688787572635
0.8489,6605.841594481091,50.39005312552824
0.43591,2333.076960364334,16.47754102746549
0.30191,1757.5587372969376,13.239625821356713
0.58119,3937.195874790715,29.208693730916895
0.34621,2084.6719254145974,16.326853865779622
0.3312,1776.4598329134153,15.007318230086474
0.44939,2898.649887979002,24.348231229876404
0.2916,1542.6953943809006,14.684500080194352
0.46109,2785.6221248609068,31.211555154469174
0.63291,4149.9582008638845,34.39498977354294
0.26891,1356.1588287021711,12.278726315797456
0.92591,6607.320573926431,51.88746246877447
0.62591,3923.145560966065,25.791292025092584
0.60891,3871.99689882812,25.810674628020298
0.57891,3425.965886817353,28.290413779886286
0.7202,4325.728859549494,35.96364642512783
0.7672,5950.4807165198945,36.62760932105379
0.3682,2222.462732707491,15.107473311326867
0.8492,5647.927111647676,36.41661218131264
0.77721,4170.453684211083,32.29494894748727
0.58421,3549.1463447713413,20.736907090850625
0.5892,3549.1957229896534,25.464404935481102
0.7692,4372.214205458085,34.21059043096827
0.5142,3252.744239780044,23.7675373864563
0.63821,3060.3519847974335,30.568662117809136
0.43521,2571.457468792818,21.12935234009494
0.58421,3843.5753373118628,29.425410816306115
0.66259,3977.246617628657,33.78507855342178
0.62116,3656.932755726707,34.65350993857664
0.41616,2495.0687808072603,18.551850626301995
0.45117,2290.5151472180996,19.52900405382128
0.73316,5361.820451066339,43.52395451495836
0.74116,6874.905716626097,47.87368122453953
0.34916,1749.7261522412173,15.154214757815106
0.51416,3459.461161380962,25.487882059823303
