redshift,dL_Planck,erro_Planck
0.078,483.297107687511,33.69204532006129
0.088,515.0867407213664,32.41663685905707
0.103,566.3715671888203,30.79017015198338
0.103,566.3715671888203,30.79017015198338
0.152,762.4422716787085,27.698249153897844
0.208,1034.817793874594,27.34343617041193
0.214,1066.733169168292,27.438373065170435
0.215,1072.100262991211,27.45602245820766
0.235,1182.2222342962632,27.904360234694668
0.235,1182.2222342962632,27.904360234694668
0.236,1187.8636029634508,27.931014012733627
0.252,1279.7965290148277,28.402252245123282
0.253,1285.6443260639207,28.43423916368114
0.313,1656.2608924580854,30.724732314958647
0.314,1662.7381871144753,30.767511781632965
0.318,1688.7362516180146,30.939763619836143
0.324,1727.9953316476895,31.20142107558093
0.345,1867.7560707930825,32.14546551611666
0.352,1915.1118061162415,32.469045151508546
0.355,1935.51871545834,32.60898110813722
0.363,1990.254465605365,32.98568202722058
0.363,1990.254465605365,32.98568202722058
0.3779999999999999,2094.073045897472,33.70504033511594
0.391,2185.2263859015657,34.34106032375652
0.3989999999999999,2241.8300579129136,34.737701753380996
0.4039999999999999,2277.3953363281908,34.98746723696605
0.423,2413.78810734133,35.948126593831375
0.442,2552.0045297230827,36.92353136573434
0.447,2588.657561637694,37.18203705207971
0.451,2618.0599334647413,37.38925791615261
0.46,2684.4669628640404,37.85657968397635
0.461,2691.8665108525893,37.90857756342936
0.487,2885.6404028631514,39.26230739017126
0.539,3280.2594599289005,41.94135602467697
0.5760000000000001,3565.9411578329746,43.7927793424364
0.596,3721.8687364817597,44.77262407169505
0.7020000000000001,4564.341200754454,50.02436453861971
0.723,4734.309517955757,51.18548812532418
1.028,7267.720475431299,85.7500987857576
1.063,7552.4294141156715,91.92114432771712
